nome,cpf,idade,data,endereco,bairro,estado
Dra. Laura Barbosa,031.***.***-04,67,68.0,"ladeira de moura, 84",nova suíça,Desconhecido
Juliana Pinto,385.***.***-93,70,72.0,"rodovia sales, 21",vila canto do sabiá,Desconhecido
Joana Monteiro,138.***.***-39,55,56.0,"parque de costela, 668",aguas claras,Desconhecido
Dr. Yago Da Rocha,698.***.***-28,75,77.0,"fazenda cavalcanti, 859",alto barroca,Desconhecido
Miguel Nogueira,869.***.***-22,56,58.0,quadra de ferreira,cenaculo,Desconhecido
Isadora Da Rocha,725.***.***-70,95,96.0,"via igor da mata, 81",laranjeiras,Desconhecido
Clara Costela,380.***.***-50,81,83.0,"trevo joão pedro araújo, 7",sagrada família,Desconhecido
Dr. Enzo Gabriel Rocha,473.***.***-61,62,63.0,"condomínio da cunha, 4",unidas,Desconhecido
Maysa Monteiro,615.***.***-44,94,95.0,"parque henrique teixeira, 32",grotinha,Desconhecido
Maria Alice Da Rosa,710.***.***-66,29,31.0,"vereda silveira, 8",bom jesus,Desconhecido
Maysa Lopes,196.***.***-76,60,61.0,"avenida de araújo, 28",esplanada,Desconhecido
Srta. Yasmin Jesus,586.***.***-44,91,92.0,"fazenda letícia costela, 6",petropolis,Desconhecido
Mariana Costela,372.***.***-00,38,40.0,"campo peixoto, 75",independência,Desconhecido
Clara Almeida,842.***.***-92,35,36.0,"parque eloah costa, 91",são geraldo,Desconhecido
Sofia Aragão,687.***.***-08,35,37.0,"rua de santos, 955",ambrosina,Desconhecido
Elisa Barros,546.***.***-20,27,28.0,"estrada sales, 13",jardim felicidade,Desconhecido
Joana Silva,349.***.***-57,24,26.0,chácara miguel fogaça,laranjeiras,Desconhecido
Lorenzo Porto,812.***.***-13,63,65.0,"avenida de araújo, 1",nossa senhora da aparecida,Desconhecido
Vitória Barbosa,583.***.***-77,47,49.0,"vale de monteiro, 267",marieta 2ª seção,Desconhecido
Alícia Da Rosa,035.***.***-51,83,85.0,"trecho luana barros, 338",santa maria,Desconhecido
Lucas Monteiro,739.***.***-75,97,99.0,"parque enzo almeida, 62",piratininga,Desconhecido
Rodrigo Caldeira,816.***.***-37,47,48.0,condomínio joana lima,piratininga,Desconhecido
Luna Rezende,456.***.***-57,51,52.0,"esplanada matheus da costa, 90",paulo vi,Desconhecido
Diogo Rezende,680.***.***-24,80,82.0,"residencial novaes, 84",vila da amizade,Desconhecido
Anthony Da Costa,805.***.***-21,65,66.0,"praia ian da mota, 383",nova cintra,Desconhecido
Maria Cecília Vieira,716.***.***-55,58,60.0,rodovia emanuel da cruz,nova esperança,Desconhecido
Sra. Maria Julia Novaes,019.***.***-01,42,43.0,"ladeira da cruz, 635",coqueiros,Desconhecido
João Pedro Peixoto,243.***.***-55,64,65.0,"trecho cavalcanti, 3",acaba mundo,Desconhecido
Alana Fernandes,198.***.***-09,47,48.0,"estação rocha, 975",marieta 2ª seção,Desconhecido
Sra. Mirella Rezende,247.***.***-50,50,51.0,"vale de cavalcanti, 98",vila havaí,Desconhecido
Gabrielly Moreira,608.***.***-62,52,54.0,"lago caldeira, 363",barão homem de melo 1ª seção,Desconhecido
Sra. Sofia Souza,605.***.***-48,90,92.0,"vila gomes, 366",serra,Desconhecido
Mariane Melo,735.***.***-77,74,76.0,"rodovia ana beatriz cardoso, 97",etelvina carneiro,Desconhecido
Lorena Souza,048.***.***-49,36,38.0,"vereda sales, 83",ouro minas,Desconhecido
Fernando Da Mata,280.***.***-08,27,28.0,"ladeira clara da cruz, 37",aparecida 7ª seção,Desconhecido
Laura Cardoso,821.***.***-17,29,30.0,"setor de costa, 1",nova america,Desconhecido
Marina Da Cruz,724.***.***-26,51,52.0,"avenida castro, 718",santo agostinho,Desconhecido
Maria Rocha,163.***.***-03,39,41.0,"recanto isabel da conceição, 6",vila madre gertrudes 4ª seção,Desconhecido
Pedro Henrique Almeida,318.***.***-57,46,47.0,"núcleo de rodrigues, 95",maria virgínia,Desconhecido
Dr. Davi Luiz Nunes,604.***.***-16,88,90.0,"setor de barros, 58",vila ouro minas,Desconhecido
Vitor Gabriel Costela,175.***.***-43,56,58.0,"praia pietra caldeira, 60",túnel de ibirité,Desconhecido
Dr. Luigi Barbosa,641.***.***-39,99,100.0,"quadra yasmin caldeira, 4",salgado filho,Desconhecido
Rodrigo Azevedo,687.***.***-75,22,24.0,praia de nogueira,califórnia,Desconhecido
Pedro Henrique Cardoso,324.***.***-04,50,51.0,"rua de castro, 65",vila jardim são josé,Desconhecido
Sr. João Cardoso,032.***.***-74,19,20.0,"pátio antônio da mota, 79",maria virgínia,Desconhecido
Maria Julia Nunes,381.***.***-35,76,78.0,setor de ferreira,lorena,Desconhecido
Fernanda Duarte,453.***.***-15,23,24.0,"vereda da rocha, 6",bandeirantes,Desconhecido
Marcos Vinicius Oliveira,280.***.***-95,81,82.0,"parque de azevedo, 8",lagoinha leblon,Desconhecido
Leandro Aragão,124.***.***-32,99,,"campo gabriela rodrigues, 9",piraja,Desconhecido
Maria Alice Vieira,832.***.***-44,68,70.0,"via nogueira, 82",andiroba,Desconhecido
Ana Luiza Jesus,541.***.***-91,65,67.0,Endereco invalido,Desconhecido,Desconhecido
Guilherme Cardoso,197.***.***-21,72,72.0,"trevo nicole da cruz, 7",conjunto providencia,Desconhecido
Luiz Felipe Azevedo,439.***.***-52,49,50.0,"campo erick fernandes, 464",são benedito,Desconhecido
Nathan Araújo,813.***.***-89,60,62.0,quadra de martins,nazare,Desconhecido
Clara Ferreira,467.***.***-28,79,79.0,"fazenda de ferreira, 76",conjunto paulo vi,Desconhecido
Felipe Da Mata,634.***.***-69,85,87.0,"estrada gabrielly rocha, 634",ouro minas,Desconhecido
Enzo Gabriel Azevedo,789.***.***-48,67,68.0,"estação cardoso, 175",barão homem de melo 1ª seção,Desconhecido
Maitê Barbosa,231.***.***-07,20,22.0,"estrada duarte, 37",marmiteiros,Desconhecido
Srta. Isis Da Cruz,073.***.***-78,89,90.0,"praia moreira, 20",são jorge 2ª seção,Desconhecido
Otávio Da Mata,835.***.***-29,51,53.0,"largo de da cruz, 431",mangueiras,Desconhecido
Sophie Castro,165.***.***-09,40,41.0,"trevo de moraes, 78",bairro das indústrias ii,Desconhecido
Diogo Da Cunha,263.***.***-60,33,34.0,"distrito kaique costa, 17",novo glória,Desconhecido
Benício Fernandes,389.***.***-77,30,32.0,"condomínio da cunha, 964",conjunto califórnia i,Desconhecido
João Pedro Silva,523.***.***-06,45,46.0,"praia de almeida, 38",vila nova gameleira 3ª seção,Desconhecido
Heloísa Cunha,260.***.***-83,20,22.0,"aeroporto santos, 94",ademar maldonado,Desconhecido
Bruno Novaes,190.***.***-93,72,74.0,"alameda de da mata, 18",barroca,Desconhecido
Levi Cavalcanti,291.***.***-55,80,80.0,"aeroporto aragão, 8",guarani,Desconhecido
João Pedro Lopes,407.***.***-96,53,55.0,"vereda daniel gonçalves, 6",bacurau,Desconhecido
Heloísa Da Luz,569.***.***-57,61,62.0,"conjunto de cunha, 63",estrela,Desconhecido
Lorena Gomes,298.***.***-65,20,21.0,"rodovia de cavalcanti, 47",capitão eduardo,Desconhecido
Milena Vieira,623.***.***-51,97,98.0,"loteamento thiago fernandes, 51",graça,Desconhecido
Milena Ramos,160.***.***-34,46,48.0,praça breno ribeiro,vista do sol,Desconhecido
Vitor Hugo Ramos,286.***.***-78,73,74.0,"viela alice nogueira, 65",olaria,Desconhecido
Ana Julia Nascimento,197.***.***-31,63,65.0,aeroporto cavalcanti,coqueiros,Desconhecido
Dr. Enrico Carvalho,254.***.***-00,54,56.0,travessa de santos,garças,Desconhecido
Vitor Hugo Cunha,701.***.***-39,91,92.0,"passarela isis porto, 38",capitão eduardo,Desconhecido
Dr. Samuel Moura,402.***.***-05,22,23.0,"parque daniel pinto, 7",vista alegre,Desconhecido
Luana Nascimento,314.***.***-50,30,32.0,"vila letícia da paz, 17",marajó,Desconhecido
Dra. Maria Vitória Viana,250.***.***-00,98,99.0,colônia de moura,morro dos macacos,Desconhecido
Sr. Calebe Duarte,936.***.***-04,60,62.0,"alameda joão pedro castro, 14",vila fumec,Desconhecido
Leonardo Costela,624.***.***-29,31,33.0,via de jesus,caetano furquim,Desconhecido
Benício Moreira,136.***.***-24,44,44.0,"feira marcos vinicius da cruz, 317",leonina,Desconhecido
Lucca Mendes,819.***.***-76,83,85.0,"via de ferreira, 44",cidade jardim,Desconhecido
Sophie Farias,741.***.***-00,87,89.0,"aeroporto de ribeiro, 65",mariquinhas,Desconhecido
Bruna Da Rocha,845.***.***-19,62,64.0,"loteamento otávio freitas, 74",camponesa 2ª seção,Desconhecido
Heitor Nascimento,493.***.***-84,81,82.0,área maria fernanda pinto,nova pampulha,Desconhecido
Rafael Porto,629.***.***-30,27,28.0,"alameda da mata, 64",vila boa vista,Desconhecido
Luiz Miguel Da Paz,647.***.***-80,30,32.0,"estrada de ribeiro, 73",buritis,Desconhecido
Srta. Pietra Duarte,913.***.***-04,95,97.0,"aeroporto de nascimento, 13",pongelupe,Desconhecido
Eloah Cunha,908.***.***-60,22,24.0,"chácara de costa, 62",aparecida,Desconhecido
Bruna Rodrigues,625.***.***-67,21,23.0,"campo da costa, 719",olaria,Desconhecido
Felipe Monteiro,172.***.***-68,97,98.0,"quadra de monteiro, 43",novo das industrias,Desconhecido
Isis Campos,178.***.***-41,38,39.0,estrada pereira,vila batik,Desconhecido
Vitor Novaes,586.***.***-08,77,79.0,"lagoa de da rocha, 60",jardim atlântico,Desconhecido
Yago Porto,907.***.***-01,42,43.0,"parque alícia cavalcanti, 234",vila piratininga,Desconhecido
Guilherme Campos,354.***.***-79,55,57.0,"largo de duarte, 24",barro preto,Desconhecido
Vitor Moraes,297.***.***-99,26,27.0,"campo enrico lima, 20",trevo,Desconhecido
João Gabriel Jesus,790.***.***-01,98,100.0,"favela martins, 7",barão homem de melo 2ª seção,Desconhecido
Dr. Vitor Hugo Rezende,796.***.***-58,28,30.0,"ladeira barros, 84",xodo-marize,Desconhecido
Dr. Arthur Carvalho,081.***.***-97,38,40.0,"jardim silveira, 35",dona clara,Desconhecido
Ryan Mendes,239.***.***-55,45,46.0,"viaduto evelyn ribeiro, 56",dom silverio,Desconhecido
Ana Laura Silva,485.***.***-47,77,78.0,"campo de farias, 77",paulo vi,Desconhecido
Lorenzo Novaes,370.***.***-05,44,45.0,"loteamento alice freitas, 3",santa lúcia,Desconhecido
Cauê Cardoso,019.***.***-60,18,20.0,"trecho alícia monteiro, 61",são jorge 3ª seção,Desconhecido
Dra. Ana Luiza Silveira,324.***.***-40,82,84.0,"alameda pinto, 59",cinquentenário,Desconhecido
Lavínia Azevedo,318.***.***-03,75,77.0,"condomínio larissa teixeira, 216",olhos d'água,Desconhecido
Letícia Jesus,451.***.***-19,76,77.0,"vale de da mata, 75",bela vitoria,Desconhecido
Bruna Ribeiro,352.***.***-10,71,73.0,trevo beatriz cardoso,prado,Desconhecido
Theo Da Mata,758.***.***-44,65,67.0,"feira souza, 65",santa helena,Desconhecido
João Gabriel Porto,956.***.***-91,51,53.0,"fazenda luiza campos, 62",horto,Desconhecido
Maria Julia Freitas,178.***.***-53,73,74.0,"loteamento de gomes, 86",liberdade,Desconhecido
Dr. Otávio Barros,683.***.***-21,26,28.0,"condomínio marina costela, 29",morro dos macacos,Desconhecido
Yasmin Gomes,827.***.***-35,99,100.0,"feira letícia nascimento, 5",unidas,Desconhecido
Sofia Novaes,576.***.***-83,44,45.0,"aeroporto de ribeiro, 57",coração de jesus,Desconhecido
Ian Da Luz,152.***.***-77,35,36.0,"feira moura, 2",das industrias i,Desconhecido
Davi Luiz Souza,857.***.***-53,76,78.0,"favela peixoto, 76",mangueiras,Desconhecido
Cecília Araújo,032.***.***-26,19,21.0,"distrito rezende, 61",jardim américa,Desconhecido
Luiz Gustavo Duarte,381.***.***-44,59,61.0,"favela caldeira, 98",maria helena,Desconhecido
Ana Julia Cardoso,704.***.***-88,27,29.0,"chácara campos, 423",vila são geraldo,Desconhecido
Gabrielly Lima,560.***.***-30,98,99.0,"parque alves, 70",flavio de oliveira,Desconhecido
Heloísa Ribeiro,437.***.***-37,63,65.0,sítio luiz gustavo cunha,nova vista,Desconhecido
Letícia Costa,530.***.***-70,43,45.0,"viela yago oliveira, 70",serrano,Desconhecido
Ana Beatriz Da Rocha,438.***.***-04,79,81.0,"alameda joão fernandes, 25",estrela do oriente,Desconhecido
Benjamin Moura,975.***.***-97,21,23.0,"trevo de rezende, 83",coqueiros,Desconhecido
Ana Julia Fogaça,103.***.***-70,37,39.0,"área de gonçalves, 31",vila real 2ª seção,Desconhecido
Clara Da Mata,354.***.***-00,40,42.0,"aeroporto de gomes, 936",vila santo antônio,Desconhecido
Fernanda Oliveira,102.***.***-14,42,43.0,"trevo correia, 72",olhos d'água,Desconhecido
Laura Das Neves,723.***.***-29,25,25.0,"viaduto vitor gabriel ferreira, 32",minas brasil,Desconhecido
Lívia Teixeira,694.***.***-29,39,41.0,"alameda teixeira, 9",vila são joão batista,Desconhecido
Eloah Moreira,904.***.***-00,89,91.0,"pátio de nunes, 3",vila nova dos milionarios,Desconhecido
Lívia Cardoso,619.***.***-61,87,89.0,campo de da paz,nova vista,Desconhecido
Augusto Freitas,930.***.***-01,62,63.0,"trevo marcos vinicius jesus, 4",alpes,Desconhecido
Raquel Fernandes,467.***.***-94,76,77.0,"parque de teixeira, 132",vila de sá,Desconhecido
Sr. Anthony Da Costa,614.***.***-07,32,34.0,"área lima, 7",vila são francisco,Desconhecido
Murilo Melo,431.***.***-80,22,23.0,"trecho pires, 10",nazare,Desconhecido
Srta. Mirella Barbosa,430.***.***-75,85,85.0,pátio de da rosa,glória,Desconhecido
Gabriela Das Neves,437.***.***-65,40,42.0,avenida emilly pereira,distrito industrial do jatoba,Desconhecido
Bruno Da Cunha,259.***.***-24,29,31.0,quadra costa,bonsucesso,Desconhecido
Alexandre Rodrigues,740.***.***-85,57,59.0,"vale rezende, 20",juliana,Desconhecido
Natália Rezende,784.***.***-11,61,62.0,"sítio nascimento, 64",são lucas,Desconhecido
Emilly Caldeira,732.***.***-07,23,24.0,"estrada eduardo porto, 85",boa vista,Desconhecido
Levi Azevedo,639.***.***-91,85,86.0,"estação da cruz, 13",primeiro de maio,Desconhecido
Nicole Da Rocha,567.***.***-90,23,25.0,"distrito clara viana, 41",lajedo,Desconhecido
Joana Moreira,435.***.***-51,64,66.0,"viela de das neves, 139",novo glória,Desconhecido
Maria Eduarda Almeida,573.***.***-56,72,73.0,"travessa de barros, 4",santa helena,Desconhecido
Marcela Da Cruz,876.***.***-78,92,93.0,"viela viana, 95",santa rita de cássia,Desconhecido
Helena Nunes,843.***.***-42,86,88.0,"feira vieira, 28",vila são dimas,Desconhecido
Isaac Oliveira,209.***.***-01,50,51.0,"rodovia cardoso, 377",santa cecilia,Desconhecido
Manuela Pinto,094.***.***-20,39,41.0,"praia almeida, 6",beira linha,Desconhecido
Bryan Ramos,681.***.***-94,35,37.0,"aeroporto de da rocha, 27",união,Desconhecido
Sr. Enzo Gabriel Fernandes,769.***.***-21,18,19.0,"rodovia laís nunes, 50",vila madre gertrudes 2ª seção,Desconhecido
Brenda Ramos,269.***.***-83,97,99.0,"rodovia de souza, 416",conjunto são francisco de assis,Desconhecido
Yuri Rezende,564.***.***-89,97,99.0,"praia costa, 3",vila santo antônio barroquinha,Desconhecido
Luiz Miguel Da Costa,630.***.***-34,74,75.0,via porto,conjunto capitão eduardo,Desconhecido
Enzo Nogueira,187.***.***-69,62,64.0,"campo cauã freitas, 66",xangri-lá,Desconhecido
Davi Lucca Azevedo,035.***.***-10,67,68.0,"condomínio cunha, 74",camponesa 2ª seção,Desconhecido
Luiz Otávio Fernandes,716.***.***-85,69,71.0,núcleo pietro barros,vila piratininga,Desconhecido
Thomas Correia,083.***.***-66,77,78.0,"aeroporto melo, 31",conjunto celso machado,Desconhecido
Davi Lucca Teixeira,647.***.***-26,82,84.0,"condomínio de lima, 66",mirtes,Desconhecido
Luiz Gustavo Ribeiro,149.***.***-78,29,31.0,"pátio davi lucca viana, 6",gameleira,Desconhecido
Pietra Da Mata,427.***.***-08,66,67.0,"feira gonçalves, 4",vila paquetá,Desconhecido
Joaquim Azevedo,016.***.***-16,69,69.0,núcleo viana,conjunto jatoba,Desconhecido
Sra. Agatha Melo,506.***.***-60,26,27.0,"feira de oliveira, 1",mariquinhas,Desconhecido
Maria Julia Lopes,613.***.***-68,55,56.0,"campo araújo, 10",tiradentes,Desconhecido
Dr. Marcelo Cardoso,862.***.***-07,78,80.0,lagoa ana sophia oliveira,pedreira padro lopes,Desconhecido
Catarina Moreira,207.***.***-11,33,33.0,"jardim sales, 42",conjunto minas caixa,Desconhecido
Heitor Vieira,089.***.***-92,74,74.0,"morro aragão, 796",estrela,Desconhecido
Luiz Fernando Da Luz,071.***.***-01,73,75.0,"aeroporto pietro oliveira, 4",parque são josé,Desconhecido
Sabrina Silva,216.***.***-69,84,86.0,"rodovia pedro henrique santos, 46",lagoa,Desconhecido
Luiz Henrique Martins,648.***.***-82,45,46.0,"praia ferreira, 17",heliopolis,Desconhecido
Catarina Carvalho,196.***.***-10,46,47.0,"vila de farias, 46",minas caixa,Desconhecido
Ana Vitória Azevedo,529.***.***-01,76,78.0,"campo yasmin moreira, 49",funcionários,Desconhecido
Thales Campos,412.***.***-89,81,82.0,"avenida lavínia castro, 46",marieta 2ª seção,Desconhecido
Thales Oliveira,369.***.***-50,82,83.0,condomínio levi almeida,vila nova cachoeirinha 3ª seção,Desconhecido
Fernanda Cavalcanti,912.***.***-51,70,71.0,"viela isis gomes, 43",petropolis,Desconhecido
Dr. João Gabriel Da Conceição,831.***.***-00,46,47.0,"jardim luiz felipe duarte, 1",bela vitoria,Desconhecido
Noah Barros,310.***.***-86,32,33.0,"jardim almeida, 48",belvedere,Desconhecido
Dr. Felipe Novaes,685.***.***-59,51,52.0,"pátio de ribeiro, 16",pindura saia,Desconhecido
Luiz Fernando Aragão,120.***.***-01,19,21.0,"ladeira mariane santos, 7",distrito industrial do jatoba,Desconhecido
Ana Júlia Cardoso,812.***.***-76,82,84.0,"vila silveira, 86",gameleira,Desconhecido
Marina Ramos,068.***.***-10,60,62.0,"ladeira duarte, 35",urca,Desconhecido
Dra. Joana Lopes,619.***.***-11,57,58.0,"viaduto de novaes, 952",dom cabral,Desconhecido
Isabel Duarte,146.***.***-87,57,58.0,"aeroporto isaac da conceição, 1",vila jardim montanhes,Desconhecido
Paulo Jesus,078.***.***-92,53,54.0,"fazenda de porto, 4",santa lúcia,Desconhecido
Laura Costa,540.***.***-25,84,84.0,"distrito de moraes, 56",alto vera cruz,Desconhecido
Sra. Milena Pinto,280.***.***-24,64,64.0,"jardim novaes, 13",sion,Desconhecido
Danilo Ribeiro,109.***.***-80,67,69.0,"ladeira de da conceição, 76",venda nova,Desconhecido
Lívia Nunes,742.***.***-23,49,50.0,"passarela de porto, 65",pousada santo antonio,Desconhecido
Alícia Rodrigues,349.***.***-16,51,52.0,"travessa de farias, 9",esplanada,Desconhecido
Agatha Rezende,057.***.***-79,94,95.0,"parque da luz, 3",grajaú,Desconhecido
Juliana Santos,605.***.***-59,93,95.0,"parque de silveira, 6",são jorge 3ª seção,Desconhecido
Maria Fernanda Da Conceição,408.***.***-50,62,63.0,"campo santos, 714",alto barroca,Desconhecido
Daniela Barbosa,861.***.***-64,35,37.0,"área de moreira, 82",das industrias i,Desconhecido
Arthur Pinto,562.***.***-25,30,32.0,viela kamilly cunha,vista do sol,Desconhecido
Emanuel Aragão,910.***.***-57,41,43.0,"campo de da cruz, 22",conjunto são francisco de assis,Desconhecido
Dra. Alice Vieira,936.***.***-00,77,78.0,rodovia cunha,das industrias i,Desconhecido
Maria Cecília Moreira,805.***.***-71,65,66.0,"passarela joão pedro nunes, 6",vila oeste,Desconhecido
,532.***.***-41,73,75.0,"estação alves, 8",vila petropolis,Desconhecido
Maria Vitória Campos,380.***.***-57,55,57.0,"viela da costa, 16",canadá,Desconhecido
Isabel Da Conceição,819.***.***-93,89,91.0,"vale nogueira, 8",bela vitoria,Desconhecido
,013.***.***-69,44,46.0,"parque helena pires, 852",vila jardim são josé,Desconhecido
Dr. Thomas Nunes,967.***.***-46,81,83.0,"vereda da mota, 37",vila da luz,Desconhecido
Lucca Moura,718.***.***-35,37,39.0,"praia bryan martins, 8",santa amelia,Desconhecido
Diogo Souza,169.***.***-95,65,67.0,"largo maysa cavalcanti, 6",vila satélite,Desconhecido
Juliana Costa,980.***.***-39,53,55.0,"alameda de campos, 32",vila são rafael,Desconhecido
Eduarda Da Costa,739.***.***-48,88,90.0,"jardim de lima, 1",das industrias i,Desconhecido
Alana Freitas,427.***.***-73,50,52.0,aeroporto noah jesus,diamante,Desconhecido
Murilo Ramos,374.***.***-00,97,98.0,"feira jesus, 20",aparecida 7ª seção,Desconhecido
Cecília Souza,294.***.***-30,20,22.0,"campo emanuelly gonçalves, 51",novo glória,Desconhecido
Raul Martins,187.***.***-26,96,98.0,"alameda de carvalho, 150",saudade,Desconhecido
Renan Cavalcanti,072.***.***-77,69,70.0,"trevo nina pereira, 99",álvaro camargos,Desconhecido
Sr. Diego Pires,842.***.***-41,34,35.0,"morro eduarda farias, 92",aarão reis,Desconhecido
Sofia Da Rocha,719.***.***-03,57,59.0,"vale davi luiz dias, 709",vila oeste,Desconhecido
Lorenzo Dias,271.***.***-04,98,100.0,"favela elisa barbosa, 521",jardim vitoria,Desconhecido
Sr. Vitor Souza,426.***.***-83,73,75.0,"aeroporto laura gonçalves, 7",vila vista alegre,Desconhecido
Vitor Gabriel Cardoso,354.***.***-50,30,32.0,"setor de da luz, 81",são cristóvão,Desconhecido
Pedro Rodrigues,790.***.***-20,98,100.0,"trevo de moreira, 63",araguaia,Desconhecido
Eduarda Teixeira,745.***.***-17,76,77.0,"ladeira peixoto, 85",são marcos,Desconhecido
Daniel Oliveira,753.***.***-08,34,36.0,colônia maitê cardoso,copacabana,Desconhecido
Isadora Nogueira,129.***.***-05,29,30.0,"praia de campos, 94",candelaria,Desconhecido
Sr. Fernando Moraes,768.***.***-95,96,98.0,"área moreira, 8",grajaú,Desconhecido
Luiza Araújo,246.***.***-10,70,70.0,jardim de dias,mirtes,Desconhecido
Maria Luiza Pires,620.***.***-67,46,47.0,"viela de gonçalves, 79",vila havaí,Desconhecido
João Lucas Das Neves,974.***.***-49,49,50.0,"campo de nascimento, 5",serra do curral,Desconhecido
Vitor Gabriel Carvalho,387.***.***-92,86,88.0,"viaduto farias, 15",sagrada família,Desconhecido
Henrique Sales,196.***.***-39,57,58.0,"jardim cavalcanti, 94",petropolis,Desconhecido
Henrique Ferreira,360.***.***-07,29,30.0,"lago de lopes, 6",floramar,Desconhecido
Dra. Raquel Da Mota,263.***.***-78,33,34.0,"aeroporto de fogaça, 29",santa sofia,Desconhecido
Levi Melo,513.***.***-09,35,37.0,"travessa de da luz, 42",vila nova paraíso,Desconhecido
Ana Luiza Gomes,287.***.***-12,32,34.0,"estação de da costa, 211",pilar,Desconhecido
Isaac Fernandes,572.***.***-07,77,78.0,"recanto rodrigues, 80",minas caixa,Desconhecido
Leandro Fernandes,018.***.***-15,65,67.0,"praia daniel barbosa, 847",silveira,Desconhecido
Dr. Breno Sales,135.***.***-42,77,79.0,estação miguel rodrigues,coração de jesus,Desconhecido
Rafael Araújo,481.***.***-17,84,85.0,"trevo sofia moreira, 67",alta tensão 1ª seção,Desconhecido
Eduardo Da Costa,043.***.***-31,73,75.0,"quadra de alves, 729",camponesa 2ª seção,Desconhecido
Dra. Larissa Fernandes,562.***.***-00,97,99.0,"aeroporto jesus, 2",são francisco,Desconhecido
Milena Da Rocha,864.***.***-49,80,81.0,"alameda araújo, 53",piratininga,Desconhecido
Eduarda Aragão,362.***.***-90,76,78.0,"viela de sales, 68",nova esperança,Desconhecido
Sr. Ian Barbosa,149.***.***-70,66,67.0,"morro ryan da luz, 43",vila nova gameleira 2ª seção,Desconhecido
Ian Cardoso,731.***.***-78,83,84.0,área ferreira,jardim montanhês,Desconhecido
Vitor Gabriel Ferreira,916.***.***-01,53,54.0,"conjunto farias, 36",silveira,Desconhecido
Rodrigo Melo,982.***.***-89,43,45.0,praia marina da rosa,são jorge 3ª seção,Desconhecido
Anthony Rezende,831.***.***-66,93,95.0,"via de viana, 68",beija flor,Desconhecido
Sra. Bianca Farias,783.***.***-26,32,33.0,"viela campos, 2",anchieta,Desconhecido
João Carvalho,298.***.***-50,91,92.0,"vereda de aragão, 15",horto,Desconhecido
Benício Da Costa,783.***.***-07,28,30.0,"vereda de souza, 13",europa,Desconhecido
Yuri Alves,896.***.***-03,86,88.0,"colônia da costa, 7",ouro minas,Desconhecido
Gabriela Da Rosa,210.***.***-31,76,78.0,"vale de caldeira, 8",ribeiro de abreu,Desconhecido
Eduarda Da Conceição,238.***.***-00,99,100.0,"praia de silva, 91",joão pinheiro,Desconhecido
Vicente Aragão,875.***.***-88,96,98.0,avenida da luz,vila inestan,Desconhecido
Srta. Sabrina Teixeira,682.***.***-89,87,89.0,"estrada de da rosa, 69",jonas veiga,Desconhecido
Antônio Santos,198.***.***-03,85,87.0,"morro da rocha, 84",tirol,Desconhecido
Dr. Lucca Pinto,526.***.***-09,21,22.0,"estrada sabrina freitas, 40",acaba mundo,Desconhecido
Emilly Vieira,924.***.***-33,71,73.0,"recanto miguel moraes, 45",penha,Desconhecido
Dr. Gabriel Da Mata,701.***.***-69,59,59.0,"feira de farias, 28",horto,Desconhecido
Emanuella Azevedo,406.***.***-01,69,70.0,"sítio moura, 50",ápia,Desconhecido
Ana Julia Rocha,618.***.***-60,47,49.0,"trevo davi lucca da cruz, 72",boa união 1ª seção,Desconhecido
Milena Castro,482.***.***-82,60,61.0,"chácara da mota, 218",conjunto floramar,Desconhecido
Lavínia Peixoto,204.***.***-50,72,74.0,"feira martins, 78",estrela do oriente,Desconhecido
Enzo Gabriel Gomes,893.***.***-40,28,30.0,"setor luiz henrique monteiro, 4",madri,Desconhecido
Laura Fogaça,196.***.***-80,34,36.0,"chácara de da mota, 4",pompéia,Desconhecido
Sr. Vitor Da Mata,062.***.***-78,60,62.0,Endereco invalido,Desconhecido,Desconhecido
Sophie Pinto,023.***.***-40,29,29.0,residencial noah mendes,vila atila de paiva,Desconhecido
Sr. Kaique Peixoto,726.***.***-47,62,63.0,"fazenda moraes, 80",vila vista alegre,Desconhecido
Luiz Henrique Mendes,248.***.***-76,90,91.0,"travessa leandro da mata, 898",vila sesc,Desconhecido
Sr. Felipe Barros,569.***.***-57,48,50.0,"área raquel moura, 8",mangabeiras,Desconhecido
Ana Beatriz Pereira,798.***.***-01,54,55.0,condomínio de santos,jaraguá,Desconhecido
Sr. Rafael Silva,238.***.***-15,26,27.0,"estação lara almeida, 67",sagrada família,Desconhecido
Dra. Olivia Mendes,189.***.***-05,90,92.0,residencial de mendes,jardim guanabara,Desconhecido
Eduardo Sales,052.***.***-74,39,41.0,"aeroporto emanuel barros, 4",tres marias,Desconhecido
André Rodrigues,375.***.***-91,73,74.0,"trecho gomes, 3",barreiro,Desconhecido
Sophia Cavalcanti,092.***.***-56,91,92.0,"alameda paulo da cruz, 70",vila madre gertrudes 3ª seção,Desconhecido
Carolina Sales,519.***.***-40,32,33.0,"residencial pinto, 95",etelvina carneiro,Desconhecido
Lucas Monteiro,654.***.***-37,76,77.0,"lagoa de silveira, 91",trevo,Desconhecido
João Felipe Dias,850.***.***-42,52,53.0,"condomínio moura, 504",santa helena,Desconhecido
Dr. Ian Fogaça,248.***.***-32,93,93.0,distrito de cavalcanti,vila barragem santa lúcia,Desconhecido
Lorena Barros,785.***.***-10,83,84.0,"favela letícia jesus, 34",novo ouro preto,Desconhecido
